Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Federal Fund Rate
20150814,17410.12,17394.06,82118120,-111.3066248,-47.6758214,98.84,17584.34915,17478.866,57.65,17461.234,-273.99,-1.543484764,-0.006864338,-2902313.459,96.6024,0.14
20150817,17472.66,17341.72,73377570,-100.6436544,-27.82034383,209.68,17580.61876,17473.564,171.8,17447.236,-200.8,-1.131523872,-0.000313948,-3168078.124,96.819,0.15
20150818,17537.3,17486.42,79897088,-93.84202629,8.595722611,81.98,17574.02078,17469.629,-103.83,17468.936,-178.52,-1.009165703,-0.001660731,-3388896.033,97.0017,0.15
20150819,17508.74,17282.42,104717299,-100.4154284,-82.10385235,234.77,17552.56451,17450.455,-54.11,17458.18,-249.47,-1.417588162,-0.004076982,-4642572.655,96.4418,0.15
20150820,17345.32,16990.69,128534950,-132.9827899,-243.7923862,358.04,17499.05266,17407.549,-411.82,17374.668,-560,-3.190757742,-0.022027378,-5555617.911,95.7787,0.15
20150821,16990.69,16459.55,225172151,-199.3372436,-319.3007739,531.14,17400.07145,17316.186,-948.5,17171.138,-1080.72,-6.161294424,-0.065592328,-7956356.974,94.8598,0.15
20150824,16459.75,15370.33,293917010,-295.9905935,-298.2435546,1089.42,17254.47893,17141.804,-1606.05,16836.372,-1548.4,-8.88876132,-0.088002303,-8765619.569,93.5158,0.15
20150825,15882.27,15651.24,213216133,-384.6891371,-194.6246477,661.7,17103.23713,16968.164,-1878.74,16467.392,-1706.94,-9.825031168,-0.099759747,-8785362.569,94.0134,0.15
20150826,15676.26,15676.26,208424513,-400.4138749,-121.4168104,637.31,17025.35835,16856.464,-1225.83,16254.748,-1329.66,-7.548380175,-0.064494708,-6069227.467,95.34,0.14
20150827,16285.51,16285.51,171979851,-378.7140669,-53.63434793,381.18,16990.06423,16781.116,-693.96,16187.564,-748.07,-4.298551271,-0.047068214,-3574050.75,95.7701,0.14
20150828,16649.42,16535.18,131789104,-358.3350827,-36.22988577,134.79,16957.01144,16697.677,-347.68,16224.216,-759.5,-4.364312964,-0.05141982,-2758303.981,95.7727,0.14
20150831,16632.02,16444.05,141435175,-347.4572451,-38.99214597,198.96,16916.15607,16595.962,68.28,16355.552,-880.22,-5.05633823,-0.056152756,-4472988.305,95.9885,0.08
20150901,16528.03,15979.95,171388222,-372.4424464,-71.80175314,548.08,16834.46025,16450.663,187,16433.934,-1419.05,-8.119342694,-0.074378931,-6699013.866,95.32,0.14
20150902,16058.35,16058.35,133482703,-364.3977758,-56.92263379,294.23,16788.45261,16350.928,684.94,16447.108,-1193.8,-6.80414792,-0.037627077,-5387073.577,95.911,0.14
20150903,16364.34,16317.31,109729970,-352.0772187,-29.61872693,232.76,16749.05331,16289.335,708.32,16391.106,-1170.42,-6.670891949,-0.005163505,-4712528.652,96.4019,0.14
20150904,16371.76,16026.61,127266385,-360.1404036,-59.84428838,348.15,16687.46538,16253.598,435.94,16282.98,-1442.8,-8.223341111,0.014347568,-5289775.995,96.2546,0.14
20150908,16109.93,16109.93,123870832,-331.2185069,-13.73879266,401.03,16668.91439,16315.731,-162.09,16275.91,-856.05,-4.934366954,0.050097377,-3733241.843,95.8817,0.14
20150909,16505.04,16220.1,118787759,-323.8586333,4.760504491,444.55,16629.35778,16374.444,-389.44,16314.954,-737.12,-4.338375899,-0.001961253,-4315375.637,95.8939,0.14
20150910,16252.57,16212.08,122691281,-308.2727651,7.460137497,229.86,16600.88561,16378.933,-197.63,16310.758,-129.35,-0.785856407,-0.019476102,-3335111.957,95.547,0.14
20150911,16330.4,16244.65,104630125,-284.3567399,31.19479177,190.11,16584.90508,16356.765,374.74,16322.424,561.74,3.539333453,-0.012613103,-2519708.348,95.1718,0.14
20150914,16450.86,16330.87,92662418,-267.33482,28.10741313,119.99,16564.52935,16329.56,19.58,16376.14,704.52,4.497001233,-0.00950325,-4010192.664,95.258,0.14
20150915,16382.58,16382.58,93051069,-232.692976,98.11615775,273.15,16567.89323,16336.742,497.47,16397.574,314.34,1.930182107,0.032620777,-2421692.822,95.6286,0.14
20150916,16599.51,16593.9,99623148,-191.7240899,153.6122433,162.08,16584.27959,16404.902,247.27,16494.85,85.18,0.511445069,0.023212136,-1637557.058,95.3398,0.14
20150917,16738.08,16639.93,129602027,-162.6430072,150.1768274,293.5,16592.89486,16437.238,421.17,16563.718,31.73,0.190650609,0.017990086,-1958926.604,94.5509,0.14
20150918,16674.74,16343.76,341706081,-161.1518682,25.91934145,330.98,16573.05535,16438.22,54.18,16554.016,-143.45,-0.867919528,0.017223511,-5513533.681,95.1593,0.14
20150921,16406.1,16391.88,90728488,-148.1269375,42.03914988,194.02,16567.06818,16479.001,77.1,16581.862,451.84,2.813738647,0.001060557,-5261537.385,95.9249,0.14
20150922,16477.45,16221.73,119009737,-150.5708016,-46.84150778,288.46,16544.53502,16462.78,-40.49,16527.986,-20.91,-0.127879115,0.004708989,-5692564.596,96.3323,0.14
20150923,16332.81,16211.98,86032198,-154.8044752,-83.58627082,143.31,16519.33073,16465.412,-319.96,16435.974,177.51,1.102383623,-0.003093004,-5296543.259,96.1849,0.14
20150924,16257.11,16016.36,122217667,-162.6249947,-129.8634812,263.53,16489.04399,16452.504,-538.63,16341.29,-291.36,-1.766601911,-0.01410386,-4294413.848,96.2721,0.14
20150925,16205.07,16205.07,130786703,-157.8567407,-51.15193753,263.91,16472.43695,16440.662,-360.07,16327.308,61.1,0.375917414,-0.003438406,-1492563.028,96.2585,0.13
20150928,16313.26,15981.85,139927738,-177.2731031,-150.0800476,332.82,16427.62295,16403.755,-382.69,16225.648,-328.51,-2.01164699,-0.036022012,-1219770.377,95.9687,0.13
20150929,16001.76,15942.37,121158086,-186.6967135,-148.3835387,176.52,16391.576,16348.683,-461.06,16169.38,-383.96,-2.336505186,-0.041267746,-199179.0347,95.9103,0.13
20150930,16057.08,16057.08,145744847,-173.1603774,-64.83766142,248.47,16381.39734,16303.158,-45.77,16170.342,-86.26,-0.526908624,-0.023391069,-843558.9466,96.2692,0.07
20151001,16278.62,16073.82,111416980,-161.5939559,-50.42763579,275.05,16370.97949,16262.885,-58.46,16184.48,-98.95,-0.604423931,-0.006870484,-2536352.817,96.1548,0.13
20151002,16258.25,16013.66,136887938,-134.7072842,-13.79584163,459.11,16380.63573,16271.664,141.9,16216.02,101.41,0.619450539,-0.002290707,-1835261.112,95.9187,0.13
20151005,16502.1,16502.1,127657415,-87.85160379,119.8539945,326,16418.33043,16298.288,445.96,16370.928,405.47,2.476763733,0.026582533,129234.5032,96.0788,0.13
20151006,16774.02,16746.03,120007237,-49.04249115,148.9472056,119.06,16453.74562,16344.26,459.72,16519.14,419.23,2.560815004,0.030392747,1760941.244,95.4556,0.13
20151007,16805.42,16765,115692238,-8.337431492,163.2187504,198.3,16497.41652,16407.5,581.82,16644.658,541.33,3.306647869,0.042038659,1055059.463,95.5902,0.13
20151008,16904.17,16859.34,100733682,34.69425265,152.6622652,221.94,16550.11494,16492.443,770.86,16800.406,450.9,2.716289605,0.043169949,1671230.855,95.2894,0.13
20151009,17054.69,17027.23,103732049,70.70466896,133.7832202,83.65,16601.00781,16569.425,883.17,16922.83,344.54,2.058190138,0.063367417,3034051.234,94.9041,0.13
20151012,17082.29,17064.58,72501083,101.8910103,113.0411581,74.63,16651.56516,16682.422,817.19,16993.916,457.12,2.74139207,0.063199793,2310681.38,94.8782,0.13
20151013,17113.55,17034.45,99396774,121.1773916,92.54816467,138.36,16692.54848,16785.698,1080,17052.256,697.31,4.25589182,0.046668723,2755188.803,94.7781,0.13
20151014,17079.08,16887.67,120111006,122.3714807,62.18939586,223.71,16714.66291,16849.703,875.62,17054.748,414.56,2.510934156,0.038567187,1511153.9,93.9143,0.13
20151015,16944.86,16933.57,122955823,139.2230152,71.51381868,219.67,16755.33787,16936.677,857.05,17072.948,811.28,4.96789131,0.039049689,2094134.2,94.448,0.13
20151016,17141.75,17107.35,145876766,156.759881,84.02928935,112.67,16799.20759,17011.037,165.22,17099.244,936.08,5.749916001,0.025530946,3672108.441,94.7346,0.13
20151019,17209.43,17129.19,118433685,169.8754325,83.38026037,106.76,16840.28687,17056.448,146.05,17118.98,1029.22,6.35269225,0.025556367,3133255.377,94.9176,0.13
20151020,17228.47,17147.99,106670969,177.1439081,82.20205995,116.89,16876.17479,17099.14,85.25,17146.024,902.44,5.531463401,0.017704481,2166366.465,94.8602,0.13
20151021,17225.93,17153.13,107101987,176.9509029,82.71343335,161.86,16904.02576,17124.772,86.72,17194.796,1166.72,7.291138734,0.006864854,2066775.866,95.0499,0.13
20151022,17180.88,17180.88,152420603,200.3540936,156.993281,336.57,16959.75283,17168.613,564.41,17264.278,1440.03,8.9726359,0.023138333,6511320.35,96.366,0.12
20151023,17525.11,17525.11,158086647,228.9739827,220.4500485,190.21,17025.17637,17224.834,504.95,17350.424,1362,8.363678791,0.02917486,7251602.322,97.0584,0.12
