Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,HIBOR
20080923,19178.4902,18872.8496,254663.56,-722.2841266,-35.41369308,759.3496,19728.02118,19063.55489,-480.0508,18620.48594,-1516.6309,-7.438300843,-0.078973752,-508770.9329,76.72,2.69
20080924,18954.3203,18862.9004,208446.8,-694.5745109,-25.77252572,428.1191,19655.06585,18910.64297,661.3808,18885.44608,-971.2891,-4.872701001,-0.051890028,-441514.2636,77,2.69
20080925,19003.2207,18870.1094,168246.64,-667.1478773,-20.22595448,375.3203,19586.43383,18804.10801,1297.2402,19145.83984,-1859.8398,-8.944001615,-0.023430685,-643642.7274,77.01,2.69
20080926,18909.5898,18500.1094,189543.96,-658.186628,-42.96775668,436.8301,19500.30583,18733.44492,1049.6289,19016.7117,-1809.0196,-8.828314586,-0.034662019,-588470.748,76.95,2.69
20080929,18742.25,17796.3398,257848.36,-707.5951542,-86.57544414,945.9102,19346.05572,18586.22285,248.2188,18666.4078,-2119.0996,-12.73932831,-0.022946214,-1013073.667,77.71,2.69
20080930,17628.9297,17445.4297,322685.72,-727.4301699,-99.32140654,584.3398,19219.40383,18557.783,383.75,18495.08006,-1372.5098,-12.07791365,0.021037798,-873239.2582,79.24,2.69
20081002,17870.4297,17631.6992,247619.04,-719.1331632,-64.66590306,653.9805,19123.37579,18615.17499,578.6485,18344.9039,-1141.791,-11.12677677,0.031774478,-938819.0515,80.56,0.42
20081003,17788.9902,17682.4004,207488.28,-746.6136261,-81.89096103,528.709,18986.14004,18620.16894,49.9395,18094.49804,-618.209,-13.70696406,-0.085127951,-847342.749,80.61,0.42
20081006,17156.2109,16790.8594,223439.22,-829.726474,-146.8782759,891.541,18778.2943,18367.77187,-2523.9707,17718.83204,-833.4297,-15.98027384,-0.14407145,-999238.3285,81.61,0.42
20081008,16107.9805,15431.7305,492574.64,-994.837436,-203.2116802,1372.0293,18459.57394,17947.725,-3441.1191,17229.0422,-2200.7304,-20.26140692,-0.182331718,-1275040.433,81.151,0.42
20081009,15598.2402,15550.8604,338892.32,-1072.056505,-153.3542569,558.4697,18219.92311,17654.76406,-3018.75,16814.44806,-3384.4903,-12.88136995,-0.159200061,-1038305.49,81.4,0.42
20081010,14717.5195,14398.54,470515.8,-1211.786934,-179.8958163,1544.7002,17893.91806,17238.25205,-4137.5596,16131.6002,-4835.3291,-16.1041497,-0.218520424,-820962.4364,82.41,0.42
20081013,15156.1602,14754.6396,430506.36,-1186.574962,-93.12180314,1621.7803,17743.27445,16976.0251,-2369.9296,15857.55216,-2560.6894,-7.487898073,-0.126855701,-422247.419,81.85,0.42
20081014,17141.0508,16618.0996,401811.04,-1111.760797,-29.16421341,828.8906,17656.57031,16791.10421,29.1211,15863.37638,-2129.1093,-12.90813528,-0.058599495,-751130.8014,81.56,0.42
20081015,16609.0898,15961.9199,256171.04,-1107.052341,-56.74612424,870.961,17498.63978,16602.86622,-805.46,15976.69024,-2936.1299,-18.5098947,-0.1120053,-923390.078,82.29,0.42
20081016,14902.3398,14578.54,441259.04,-1151.994831,-108.3021051,1419.7598,17282.62833,16324.29708,-201.211,15834.1461,-3451.5703,-19.29931185,-0.163668771,-742529.8282,82.25,0.42
20081017,15081.46,14554.21,395075.44,-1228.028652,-103.6867873,745.8603,17022.77896,15958.60714,-1389.0302,15785.61408,-3326.4697,-23.24534584,-0.176909827,-928481.2046,82.36,0.42
20081020,14691.9004,14691.79,301334.9,-1212.275923,-73.68713866,918.4697,16860.89619,15722.66808,526.1397,15587.784,-2693.2011,-19.07329641,-0.08812016,-470967.2243,83.08,0.42
20081021,15384.8203,14884.0703,235432.88,-1208.601885,-68.49437954,573.3496,16687.58892,15546.40909,-1270.9903,15229.4418,-3169.9395,-19.4888256,-0.025308931,-559004.0979,84.729,0.42
20081022,14878.21,14038.4102,310211.58,-1253.739209,-103.396815,1123.2802,16457.01851,15429.896,-2566.2813,14883.10176,-3415.8008,-15.09876498,-0.105163102,-702770.1488,85.34,0.42
