Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20150116,3616.25,3601.26,2826816.14,135.5978809,89.80094589,60.9,3462.411151,3580.1678,75.887,3553.8612,179.691,5.200212418,-0.001756125,1595456334,88.65,8.05
20150119,3414.01,3330.98,3295052.75,111.1336657,-154.3407778,304.165,3452.196279,3551.5292,-191.568,3522.177,-102.399,-2.961602335,-0.07852221,1435439733,89.35,8.05
20150120,3336.79,3325.68,2978432.32,93.976065,-149.4582784,93.523,3446.865396,3527.0455,-117.354,3498.6134,-137.483,-3.890619053,-0.067942445,1483326677,89.11,8.08
20150121,3420.49,3409.43,3379282.1,91.64079307,-37.17035494,161.572,3456.581548,3517.555,34.845,3507.9058,-92.656,-2.544417322,-0.002914652,1468793155,88.73,8.08
20150122,3551.05,3520.05,2688535.99,90.26079605,8.659651965,56.703,3467.155972,3518.3904,65.19,3500.6042,-73.446,-2.017160392,0.005855456,1378748285,88.21,8.1
20150123,3582.09,3548.63,2801721.72,88.47956994,41.26088261,79.18,3477.115594,3520.8913,-32.389,3487.9214,-72.058,-1.977556336,0.016282297,1407654267,88.46,8.09
20150126,3580.12,3559.38,2397662.03,88.96768544,57.88978964,52.241,3489.579347,3530.3322,-27.161,3538.4874,48.726,1.368992816,0.026038079,1402789233,88.33,8.06
20150127,3614.04,3510.02,2876691.79,85.69944903,37.73300472,106.241,3497.708076,3536.4213,219.776,3574.2292,28.208,0.795325713,0.02028235,1306875362,88.48,8.31
20150128,3547.24,3512.39,2162202.14,78.20489972,10.83862907,70.919,3500.338069,3538.7113,129.101,3569.5168,11.747,0.334331746,-0.021863306,1349092357,87.91,8.45
20150129,3474.92,3453.9,2116188.6,67.96979812,-55.09092726,71.422,3498.572348,3526.479,-67.087,3552.3538,-32.242,-0.917519436,-0.042184826,1589995626,88.22,8.97
20150130,3496.89,3431.94,1964791.57,55.39442453,-71.11918369,82.281,3492.459743,3506.4034,-133.223,3524.8854,-68.033,-1.942455266,0.023071055,1211679378,89.21,8.68
20150202,3360.19,3347.09,1951836.99,38.49457998,-139.4233011,87.305,3479.269292,3506.2839,-217.772,3474.0804,-250.161,-6.940971183,-0.012443827,859266739.2,89.59,8.18
