Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20101021,9443.95,9326.78,1314951040,22.16039052,-91.17044606,152.47,9462.55693,9494.562,-27.03,9459.254,-119.28,-1.256139582,-0.031836453,-13330509.21,77.44,0.13692
20101022,9404.09,9390.14,1084774528,16.93289498,-66.97737787,81.14,9459.142936,9468.752,-156.8,9444.546,-132.67,-1.387851513,-0.016912298,-23205885.64,77.37,0.13692
20101025,9424.44,9392.68,980067520,10.60613472,-72.91934071,68.02,9453.620752,9449.98,-99.09,9425.08,31.81,0.339511279,0.001331751,-16053894.95,77.19,0.13692
20101026,9386.55,9362.13,1073292160,3.631423576,-81.22816885,92.91,9446.359728,9448.854,-121.11,9392.666,-211.5,-2.205679913,-0.00277875,-23254302.12,77.65,0.13692
20101027,9436.01,9329.86,1302344192,-1.104676877,-78.07503718,123.93,9440.709278,9447.206,-152.42,9393.752,-201.85,-2.105042508,-0.020501883,-19709673.81,78.06,0.13692
20101028,9368.61,9350.44,1467766784,-6.477921654,-82.52833308,63.24,9433.596965,9425.458,-15.57,9391.662,-22.61,-0.240822952,-0.014128049,-20740708.48,77.28,0.13692
20101029,9327.25,9179.15,1669207040,-23.66302316,-202.5975148,186.88,9411.582969,9395.678,-174.03,9346.81,-201.06,-2.13813778,-0.031167059,-36751345.1,77.05,0.13692
20101101,9166.85,9134.47,1254218752,-40.66499131,-203.0246894,123.85,9387.119829,9361.301,-271.99,9297.522,-428.79,-4.474247953,-0.040330417,-45522149.64,77.23,0.13692
20101102,9140.28,9123.62,1152064384,-53.10260178,-175.7581508,48.41,9365.487464,9323.354,-241.18,9254.042,-340.27,-3.581695219,-0.023622836,-34781893.02,76.72,0.13692
20101104,9282.79,9276.71,1330581632,-46.38332107,-28.70705683,217.78,9364.848658,9321.072,-28.25,9248.392,-180.67,-1.893924702,-0.001887702,-28782706.77,75.85,0.13692
20101105,9500.6,9497.45,1609373824,-19.27444507,163.9669849,321.9,9389.719262,9346.023,259.96,9300.384,244.39,2.604992752,0.020702286,-4075697.825,76.59,0.13692
20101108,9699.79,9677.87,1181783296,10.71438309,207.3237775,111.02,9422.405047,9376.644,530.47,9406.478,356.44,3.801426548,0.034086379,7845436.001,77.03,0.13692
20101109,9667.44,9659.86,1220923392,31.02216146,163.1616462,73.06,9448.317899,9405.977,539.77,9514.432,267.78,2.840651723,0.032710333,16012106.8,77.74,0.13692
20101110,9748.61,9747.03,1687951744,57.43068114,161.4930624,148.41,9484.718099,9451.291,670.54,9648.54,429.36,4.567095975,0.045113585,13388932.22,77.64,0.13692
20101111,9878.11,9834.82,1395512448,79.93478424,137.4264717,54.85,9520.59828,9498.734,701.48,9749.076,484.08,5.162209487,0.050239011,-10237611.79,78.12,0.13692
20101112,9810.3,9724.81,1293647488,85.75441163,86.06663202,136.65,9540.047016,9534.612,366.03,9768.84,337.78,3.598369239,0.05371416,-24965555.43,78.14,0.13692
20101115,9782.11,9744.99,1285293568,97.5292831,81.84758986,105.78,9567.424443,9597.118,201.52,9787.758,461.48,4.927167647,0.068459864,-3357088.921,78.62,0.13692
20101116,9892.82,9774.12,1332958976,103.217296,77.47319291,134.18,9589.298305,9661.356,64.18,9808.28,594.65,6.461866133,0.065031489,1072900.729,79.21,0.13692
20101117,9693.21,9693.21,1126151936,107.6589323,55.69261326,124.16,9610.47561,9726.524,117.17,9804.508,656.94,7.175970428,0.046157327,20488634.73,79.05,0.13692
20101118,9820.6,9798.56,1889351040,126.0235314,93.80997751,215.07,9648.871266,9792.009,183.11,9834.942,853.65,9.319343492,0.038711237,28655953.84,78.57,0.13692
20101119,10124.84,10019.08,1607736832,139.6743878,121.7845832,116.6,9684.444479,9831.649,160.93,9894.458,862.41,9.414976889,0.028882332,23615972.73,78.49,0.13692
20101122,10133.48,10091.99,1217610752,156.1806214,141.6962929,135.58,9725.467862,9869.876,390.38,9951.994,756.41,8.082356888,0.041590914,22395097.19,78.64,0.13692
20101124,9942.54,9904.92,1501440000,160.5460109,93.20728146,210.27,9754.481399,9903.438,233.01,9998.596,297.19,3.053451585,0.019899084,23801917.14,79.76,0.13692
20101125,10117.85,10038.79,1337782272,166.0972875,114.2949705,93.16,9785.460313,9928.362,268.1,10052.216,385.27,3.97411313,0.021657262,20707283.34,79.68,0.13692
20101126,10078.09,10039.56,1157889152,165.3468941,91.05943958,95.08,9809.660283,9946.172,25.93,10057.402,209.04,2.126438886,0.031350976,21833913.03,80.39,0.13692
20101129,10075.66,10044.01,1247720960,169.7693848,93.1490703,110.38,9839.786923,9986.29,103.6,10078.122,264.53,2.68246284,0.029476624,24125870.89,80.76,0.13692
20101130,10070.31,9937.04,1533413760,156.2266709,27.40178463,188.95,9849.049121,9997.243,-178.15,10042.492,212.23,2.182356262,0.014082664,15048123.46,81.3,0.13692
20101201,9939.8,9918.55,1226014592,147.9050953,6.31163162,69.5,9862.2873,10016.338,-127.14,10034.08,160.54,1.63357758,0.017660104,24618977.91,80.7,0.13692
20101202,10151.15,10143.08,1313565312,154.0962815,113.1074802,199.54,9891.452319,10052.024,138.41,10051.832,371.42,3.791121863,0.015232305,34892323.64,80.23,0.13692
20101203,10231.78,10154.99,1077392640,157.9726093,117.4160296,99.01,9918.77305,10068.493,98.56,10079.584,366.66,3.736982325,0.015319817,29673795.28,79.17,0.13692
20101206,10175.23,10143.58,953077440,158.3246883,87.13709104,36.24,9942.435617,10082.977,127.67,10087.832,153.6,1.533909282,0.005118405,40690551.71,79.64,0.13692
20101207,10152.92,10094.41,1147603072,154.7118192,61.35906982,72.82,9961.356034,10085.568,15.11,10128.644,118.71,1.184448021,0.010944572,40052848.55,79.97,0.13615
20101208,10200.16,10184.32,1265513600,157.395733,128.0126627,117.8,9987.163079,10105.79,295.29,10177.5,117.14,1.158060303,0.014910582,40823408.34,80,0.13615
20101209,10277.87,10240.11,1534018432,161.9766257,151.4319274,65.92,10015.61231,10126.402,297.83,10200.972,170.69,1.687462124,0.023947392,32930812.77,80.05,0.13615
20101210,10373.7,10194.27,2406718464,157.8222069,115.9077829,179.43,10034.31114,10143.641,43.43,10207.698,181.84,1.812941234,0.008417589,221623.3579,80.11,0.13615
20101213,10212.52,10199.73,1452812800,159.305301,98.85219815,94.16,10059.03293,10160.431,115.57,10233.03,214.13,2.124356135,0.034666195,6156053.127,79.34,0.13615
20101214,10272.7,10267.22,1705273728,160.4770094,113.3783468,52.02,10083.57932,10198.404,149.54,10268.164,277.21,2.761176785,0.031862686,15654238.21,79.42,0.13615
20101215,10338.14,10282.85,1374273408,159.0086099,104.2748367,57.84,10105.12224,10230.577,168.68,10283.654,183.79,1.815032407,0.013701553,-5505699.199,80.24,0.13615
20101216,10297.55,10282.54,1407895552,156.1665464,92.89304034,64.85,10124.75727,10244.854,78.96,10288.736,374.25,3.766212071,0.012895574,2073754.155,80.02,0.13615
20101217,10307.17,10280.8,1404461312,151.5650829,75.44382085,46.62,10141.81181,10257.405,17.95,10307.112,315.78,3.161578086,0.013257206,9802561.941,80.36,0.13615
20101220,10296.55,10182.74,1136107904,139.2590352,10.79903748,121.09,10148.9164,10262.323,4.46,10291.616,47.89,0.470963326,0.007371474,-4703487.845,80.57,0.13615
20101221,10277.14,10266.29,1132900864,140.3250201,109.5080317,156.1,10170.02246,10285.266,76.64,10302.368,192.21,1.888425595,0.013326223,14766054.09,80.67,0.13769
20101222,10348.48,10327.6,1421079808,137.6425295,121.1081725,66.62,10186.82794,10296.681,29.71,10309.708,179.25,1.763017066,0.005857064,3595818.686,80.67,0.13692
20101224,10275.97,10264.06,862064000,128.6044239,13.99075609,82.42,10195.62433,10296.012,-32.1,10303.288,46.86,0.45796021,0.006541371,-12326912.27,80.45,0.13692
20101227,10292.84,10292.84,831455168,126.1842054,95.5101402,97.72,10210.89725,10310.416,52.16,10313.72,70.11,0.681614018,0.00599653,8737595.104,80.27,0.13692
20101228,10330.01,10292.63,779483392,117.7956671,31.64899756,63.36,10218.68132,10310.29,76.22,10328.964,80.68,0.790054789,-0.00233988,6069090.237,80.38,0.13692
20101229,10282.84,10276.61,875745216,114.0220184,52.41088385,67.93,10230.66786,10313.067,-25.99,10323.766,50.65,0.492039453,0.003360227,5774360.267,79.76,0.13615
